club_id,status,name,relative_url,is_special
10841,ok,AS Nancy-Lorraine U19,/as-nancy-lorraine-u19/startseite/verein/10841,False
10846,ok,ESTAC Troyes B,/estac-troyes-b/startseite/verein/10846,False
10849,ok,FC Metz U19,/fc-metz-u19/startseite/verein/10849,False
1085,ok,Vitória Setúbal FC,/vitoria-setubal-fc/startseite/verein/1085,False
10850,ok,FC Nantes B,/fc-nantes-b/startseite/verein/10850,False
10851,ok,FC Nantes U19,/fc-nantes-u19/startseite/verein/10851,False
10852,ok,Montpellier HSC U19,/montpellier-hsc-u19/startseite/verein/10852,False
10854,ok,FC Santa Coloma,/fc-santa-coloma/startseite/verein/10854,False
108546,ok,Chicago State Cougars (Chicago State),/chicago-state-cougars-chicago-state/startseite/verein/108546,False
10856,ok,Esportivo,/esportivo/startseite/verein/10856,False
108585,ok,AS Nancy-Lorraine Jugend,/as-nancy-lorraine-jugend/startseite/verein/108585,False
10867,ok,AS Béziers,/as-beziers/startseite/verein/10867,False
10868,ok,US Orléans,/us-orleans/startseite/verein/10868,False
108689,ok,CS Brétigny U17,/cs-bretigny-u17/startseite/verein/108689,False
1087,ok,UD Salamanca (- 2013),/ud-salamanca-2013/startseite/verein/1087,False
10870,ok,Fortaleza Esporte Clube,/fortaleza-esporte-clube/startseite/verein/10870,False
10872,ok,FC Girondins Bordeaux B,/fc-girondins-bordeaux-b/startseite/verein/10872,False
108726,ok,FC Lyon U19,/fc-lyon-u19/startseite/verein/108726,False
10873,ok,FC Girondins Bordeaux U19,/fc-girondins-bordeaux-u19/startseite/verein/10873,False
10874,ok,Stade Bordelais,/stade-bordelais/startseite/verein/10874,False
108746,ok,Christiania BK,/christiania-bk/startseite/verein/108746,False
10875,ok,Bröndby IF Youth,/broendby-if-youth/startseite/verein/10875,False
1088,ok,Rochdale AFC,/rochdale-afc/startseite/verein/1088,False
10880,ok,CS Sedan-Ardennes B,/cs-sedan-ardennes-b/startseite/verein/10880,False
10883,ok,OFK Titograd,/ofk-titograd/startseite/verein/10883,False
10884,ok,AC Ajaccio U19,/ac-ajaccio-u19/startseite/verein/10884,False
108858,ok,US Thionville Lusitanos B,/us-thionville-lusitanos-b/startseite/verein/108858,False
108882,ok,AS Jeunesse Aubervilliers U17,/as-jeunesse-aubervilliers-u17/startseite/verein/108882,False
10891,ok,Gornik Zabrze II,/gornik-zabrze-ii/startseite/verein/10891,False
1090,ok,AZ Alkmaar,/az-alkmaar/startseite/verein/1090,False
109002,ok,Ironi Tiberias U19,/ironi-tiberias-u19/startseite/verein/109002,False
109007,ok,Doustimehr FA U19,/doustimehr-fa-u19/startseite/verein/109007,False
10907,ok,Zamora CF,/zamora-cf/startseite/verein/10907,False
1091,ok,PAOK Thessaloniki,/paok-thessaloniki/startseite/verein/1091,False
109163,ok,Grüner Fotball IL,/gruener-fotball-il/startseite/verein/109163,False
1092,ok,IF Brommapojkarna,/if-brommapojkarna/startseite/verein/1092,False
10920,ok,Umm Salal SC,/umm-salal-sc/startseite/verein/10920,False
